fichier,format,prompt
lyophiliser-huitre-avant-apres.webp,1200x630 (ar 1.91:1),"Split side-by-side composition: on the left the fresh raw oyster, on the right the freeze-dried oyster with its dry, airy, porous texture; clear before/after comparison. professional product photography, freeze-drying (lyophilization) theme, soft diffused natural light, clean pale frost-white and icy-teal background, shallow depth of field, crisp high detail, minimalist, no text, no watermark, no logo"
lyophiliser-huitre-macro.webp,800x600 (ar 4:3),"Extreme macro close-up of freeze-dried oyster, revealing the porous sublimated dry structure and preserved natural colour. professional product photography, freeze-drying (lyophilization) theme, soft diffused natural light, clean pale frost-white and icy-teal background, shallow depth of field, crisp high detail, minimalist, no text, no watermark, no logo"
lyophiliser-huitre-plateau.webp,800x600 (ar 4:3),"Freeze-dried oyster neatly spread on a stainless-steel lyophilizer drying tray inside a clean food laboratory. professional product photography, freeze-drying (lyophilization) theme, soft diffused natural light, clean pale frost-white and icy-teal background, shallow depth of field, crisp high detail, minimalist, no text, no watermark, no logo"
lyophiliser-huitre-rehydratation.webp,800x600 (ar 4:3),"Freeze-dried oyster rehydrating in clear water, regaining shape, water droplets, dynamic close-up. professional product photography, freeze-drying (lyophilization) theme, soft diffused natural light, clean pale frost-white and icy-teal background, shallow depth of field, crisp high detail, minimalist, no text, no watermark, no logo"
lyophiliser-moule-avant-apres.webp,1200x630 (ar 1.91:1),"Split side-by-side composition: on the left the fresh raw mussel, on the right the freeze-dried mussel with its dry, airy, porous texture; clear before/after comparison. professional product photography, freeze-drying (lyophilization) theme, soft diffused natural light, clean pale frost-white and icy-teal background, shallow depth of field, crisp high detail, minimalist, no text, no watermark, no logo"
lyophiliser-moule-macro.webp,800x600 (ar 4:3),"Extreme macro close-up of freeze-dried mussel, revealing the porous sublimated dry structure and preserved natural colour. professional product photography, freeze-drying (lyophilization) theme, soft diffused natural light, clean pale frost-white and icy-teal background, shallow depth of field, crisp high detail, minimalist, no text, no watermark, no logo"
lyophiliser-moule-plateau.webp,800x600 (ar 4:3),"Freeze-dried mussel neatly spread on a stainless-steel lyophilizer drying tray inside a clean food laboratory. professional product photography, freeze-drying (lyophilization) theme, soft diffused natural light, clean pale frost-white and icy-teal background, shallow depth of field, crisp high detail, minimalist, no text, no watermark, no logo"
lyophiliser-moule-rehydratation.webp,800x600 (ar 4:3),"Freeze-dried mussel rehydrating in clear water, regaining shape, water droplets, dynamic close-up. professional product photography, freeze-drying (lyophilization) theme, soft diffused natural light, clean pale frost-white and icy-teal background, shallow depth of field, crisp high detail, minimalist, no text, no watermark, no logo"
lyophiliser-oursin-avant-apres.webp,1200x630 (ar 1.91:1),"Split side-by-side composition: on the left the fresh raw sea urchin, on the right the freeze-dried sea urchin with its dry, airy, porous texture; clear before/after comparison. professional product photography, freeze-drying (lyophilization) theme, soft diffused natural light, clean pale frost-white and icy-teal background, shallow depth of field, crisp high detail, minimalist, no text, no watermark, no logo"
lyophiliser-oursin-macro.webp,800x600 (ar 4:3),"Extreme macro close-up of freeze-dried sea urchin, revealing the porous sublimated dry structure and preserved natural colour. professional product photography, freeze-drying (lyophilization) theme, soft diffused natural light, clean pale frost-white and icy-teal background, shallow depth of field, crisp high detail, minimalist, no text, no watermark, no logo"
